Employee_Name,Position,State,DOB,Sex,MaritalDesc,CitizenDesc,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,SpecialProjectsCount,Absences
"Becker, Scott",Production Technician I,MA,04-06-1979,M ,Single,US Citizen,Active,Production       ,Webster Butler,LinkedIn,Fully Meets,4.2,0,13
"Bernstein, Sean",Production Technician I,MA,12/22/70,M ,Single,US Citizen,Active,Production       ,Amy Dunn,Google Search,Fully Meets,5,0,13
"Biden, Lowan  M",Production Technician I,MA,12/27/58,F,Divorced,US Citizen,Active,Production       ,Ketsia Liebig,Indeed,Fully Meets,4.2,0,2
"Billis, Helen",Production Technician I,MA,09-01-1989,F,Married,US Citizen,Active,Production       ,Brannon Miller,Indeed,Exceeds,5,0,19
"Blount, Dianna",Production Technician II,MA,09/21/90,F,Single,US Citizen,Active,Production       ,Michael Albert,CareerBuilder,Needs Improvement,2,0,3
"Bondwell, Betsy",Production Technician II,MA,01/16/67,F,Single,US Citizen,Voluntarily Terminated,Production       ,Elijiah Gray,Google Search,Fully Meets,4.8,0,5
"Booth, Frank",Enterprise Architect,CT,07/30/64,M ,Single,US Citizen,Terminated for Cause,IT/IS,Simon Roup,LinkedIn,Fully Meets,3.5,7,2
"Boutwell, Bonalyn",Sr. Accountant,MA,04-04-1987,F,Married,US Citizen,Active,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,5,3,4
"Bozzi, Charles",Production Manager,MA,03-10-1970,M ,Single,US Citizen,Voluntarily Terminated,Production       ,Janet King,Indeed,Fully Meets,3.39,0,14
"Brill, Donna",Production Technician I,MA,08/24/90,F,Married,US Citizen,Voluntarily Terminated,Production       ,David Stanley,Google Search,Fully Meets,3.35,0,6
"Brown, Mia",Accountant I,MA,11/24/87,F,Married,US Citizen,Active,Admin Offices,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,4.5,6,14
"Buccheri, Joseph  ",Production Technician II,MA,07/28/83,M ,Single,US Citizen,Active,Production       ,Webster Butler,Google Search,Fully Meets,3.19,0,9
"Bugali, Josephine ",Production Technician I,MA,10/30/69,F,Separated,US Citizen,Active,Production       ,Kissy Sullivan,Diversity Job Fair,Fully Meets,3.5,0,17
"Bunbury, Jessica",Area Sales Manager,VA,06-01-1964,F,Married,Eligible NonCitizen,Voluntarily Terminated,Sales,John Smith,Google Search,Fully Meets,3.14,0,19
"Burke, Joelle",Production Technician II,MA,03-02-1980,F,Single,US Citizen,Active,Production       ,Amy Dunn,Employee Referral,Fully Meets,4.51,0,3
"Burkett, Benjamin ",Production Technician II,MA,08/19/77,M ,Married,US Citizen,Active,Production       ,Ketsia Liebig,Indeed,Fully Meets,3.25,0,15
"Cady, Max ",Software Engineering Manager,MA,11/22/66,M ,Single,US Citizen,Active,Software Engineering,Jennifer Zamora,Google Search,Fully Meets,3.84,5,4
"Candie, Calvin",Production Manager,MA,08-09-1983,M ,Single,US Citizen,Active,Production       ,Janet King,Indeed,Exceeds,5,0,14
"Carabbio, Judith",Software Engineer,MA,04-05-1987,F,Single,US Citizen,Active,Software Engineering,Alex Sweetwater,Indeed,Fully Meets,4.96,6,3
"Carey, Michael  ",Production Technician I,MA,02-02-1983,M ,Single,US Citizen,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,4.43,0,14
"Carr, Claudia  N",Sr. DBA,MA,06-06-1986,F,Single,US Citizen,Active,IT/IS,Simon Roup,LinkedIn,Fully Meets,5,6,7
"Carter, Michelle ",Area Sales Manager,VT,05/15/63,F,Single,US Citizen,Active,Sales,John Smith,Indeed,Fully Meets,5,0,7
"Chace, Beatrice ",Production Technician I,MA,01-02-1951,F,Single,US Citizen,Active,Production       ,Michael Albert,Google Search,Fully Meets,5,0,11
"Champaigne, Brian",BI Director,MA,02-09-1972,M ,Married,US Citizen,Active,IT/IS,Jennifer Zamora,Indeed,Fully Meets,4.5,7,8
"Chan, Lin",Production Technician I,MA,02-12-1979,F,Single,US Citizen,Active,Production       ,Elijiah Gray,Indeed,Fully Meets,3.3,0,11
"Chang, Donovan  E",Production Technician I,MA,08/24/83,M ,Single,US Citizen,Active,Production       ,Webster Butler,LinkedIn,Fully Meets,3.8,0,4
"Chigurh, Anton",Area Sales Manager,TX,06-11-1970,M ,Single,Eligible NonCitizen,Active,Sales,Lynn Daneault,Employee Referral,Fully Meets,3,0,17
"Chivukula, Enola",Production Technician I,MA,08/27/83,F,Single,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,Indeed,Fully Meets,4.3,0,3
"Cierpiszewski, Caroline  ",Production Technician I,MA,05/31/88,F,Single,Non-Citizen,Active,Production       ,Ketsia Liebig,Indeed,Fully Meets,3.58,0,3
"Clayton, Rick",IT Support,MA,09-05-1985,M ,Single,US Citizen,Active,IT/IS,Eric Dougall,Indeed,Fully Meets,4.7,6,2
"Cloninger, Jennifer",Production Technician II,MA,08/31/81,F,Married,US Citizen,Voluntarily Terminated,Production       ,Brannon Miller,Google Search,Fully Meets,4.2,0,9
"Close, Phil",Production Technician II,MA,11/25/78,M ,Married,US Citizen,Voluntarily Terminated,Production       ,David Stanley,Indeed,Fully Meets,4.2,0,6
"Clukey, Elijian",Production Technician I,MA,08/26/80,M ,Married,US Citizen,Active,Production       ,Brannon Miller,Employee Referral,Exceeds,4.1,0,5
"Cockel, James",Production Technician I,MA,09-08-1977,M ,Single,US Citizen,Active,Production       ,David Stanley,Employee Referral,Fully Meets,4.4,0,3
"Cole, Spencer",Production Technician I,MA,08-12-1979,M ,Single,US Citizen,Terminated for Cause,Production       ,Kissy Sullivan,LinkedIn,Needs Improvement,2,0,16
"Corleone, Michael",Production Manager,MA,12/17/75,M ,Divorced,US Citizen,Active,Production       ,Janet King,CareerBuilder,Needs Improvement,4.13,0,3
"Corleone, Vito",Director of Operations,MA,03/19/83,M ,Single,US Citizen,Active,Production       ,Janet King,Indeed,Exceeds,3.7,0,15
"Cornett, Lisa ",Production Technician I,MA,03/31/77,F,Married,US Citizen,Active,Production       ,Kelley Spirea,Indeed,Fully Meets,4.73,0,6
"Costello, Frank",Data Analyst,MA,08/26/86,M ,Married,US Citizen,Active,IT/IS,Simon Roup,Indeed,Fully Meets,3.04,6,2
"Crimmings,   Jean",Production Technician I,MA,04-10-1987,F,Single,US Citizen,Active,Production       ,Michael Albert,LinkedIn,Fully Meets,4.12,0,15
"Cross, Noah",Sr. Network Engineer,CT,09-09-1965,M ,Single,US Citizen,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,5,4,5
"Daneault, Lynn",Sales Manager,VT,04/19/90,F,Single,US Citizen,Active,Sales,Debra Houlihan,Indeed,Fully Meets,4.62,0,8
"Daniele, Ann  ",Sr. Network Engineer,CT,01/18/52,F,Married,US Citizen,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,3.1,8,19
"Darson, Jene'ya ",Production Technician I,MA,11-05-1978,F,Married,US Citizen,Active,Production       ,Elijiah Gray,Indeed,Fully Meets,5,0,1
"Davis, Daniel",Production Technician II,MA,09/14/79,M ,Single,Eligible NonCitizen,Active,Production       ,Kissy Sullivan,LinkedIn,Fully Meets,3.96,0,6
"Dee, Randy",Production Technician I,MA,04/15/88,M ,Married,US Citizen,Active,Production       ,Brannon Miller,Indeed,Fully Meets,4.3,3,2
"DeGweck,  James",Production Technician I,MA,10/31/77,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,Indeed,Fully Meets,5,0,14
"Del Bosque, Keyla",Software Engineer,MA,07-05-1979,F,Single,US Citizen,Active,Software Engineering,Alex Sweetwater,CareerBuilder,Fully Meets,3.79,5,8
"Delarge, Alex",Area Sales Manager,AL,11-02-1975,M ,Single,US Citizen,Active,Sales,John Smith,Indeed,PIP,1.93,0,5
"Demita, Carla",Production Technician II,MA,02/25/51,F,Separated,US Citizen,Voluntarily Terminated,Production       ,Kelley Spirea,Google Search,Fully Meets,4.62,0,1
"Desimone, Carl ",Production Technician I,MA,04/19/67,M ,Married,US Citizen,Active,Production       ,Amy Dunn,Indeed,PIP,1.12,0,9
"DeVito, Tommy",BI Developer,MA,09-04-1983,M ,Single,US Citizen,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.01,7,15
"Dickinson, Geoff ",Production Technician I,MA,11/15/82,M ,Single,US Citizen,Active,Production       ,Ketsia Liebig,Indeed,Fully Meets,4.3,0,1
"Dietrich, Jenna  ",Area Sales Manager,WA,05/14/87,F,Single,US Citizen,Active,Sales,John Smith,Website,PIP,2.3,0,17
"DiNocco, Lily ",Production Technician I,MA,12-02-1978,F,Married,US Citizen,Active,Production       ,Brannon Miller,Indeed,Needs Improvement,3.88,0,6
"Dobrin, Denisa  S",Production Technician I,MA,10-07-1986,F,Single,US Citizen,Active,Production       ,David Stanley,CareerBuilder,Fully Meets,3.4,0,15
"Dolan, Linda",IT Support,MA,07/18/88,F,Married,US Citizen,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.11,6,16
"Dougall, Eric",IT Manager - Support,MA,07-09-1970,M ,Single,US Citizen,Active,IT/IS,Jennifer Zamora,Indeed,Exceeds,4.3,5,4
"Driver, Elle",Area Sales Manager,CA,11-08-1988,F,Single,US Citizen,Active,Sales,Lynn Daneault,Indeed,Exceeds,4.77,0,14
"Dunn, Amy  ",Production Manager,MA,11/28/73,F,Single,US Citizen,Active,Production       ,Janet King,Google Search,Fully Meets,4.52,0,4
"Dunne, Amy",Production Technician I,MA,09/23/73,F,Married,US Citizen,Active,Production       ,Ketsia Liebig,Google Search,Fully Meets,2.9,0,6
"Eaton, Marianne",Production Technician I,MA,09-05-1991,F,Married,US Citizen,Voluntarily Terminated,Production       ,Kissy Sullivan,Google Search,Fully Meets,5,0,7
"Engdahl, Jean",Production Technician I,MA,05/31/74,M ,Single,US Citizen,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,4.7,0,8
"England, Rex",Production Technician I,MA,08/25/78,M ,Married,US Citizen,Active,Production       ,Kelley Spirea,Employee Referral,Fully Meets,4.2,0,3
"Erilus, Angela",Production Technician II,MA,08/25/89,F,Separated,US Citizen,Active,Production       ,Michael Albert,Indeed,PIP,3,0,5
"Estremera, Miguel",Production Technician I,MA,09-02-1983,M ,Single,US Citizen,Terminated for Cause,Production       ,Michael Albert,Google Search,Needs Improvement,5,0,16
"Evensen, April",Production Technician I,MA,05-06-1989,F,Single,US Citizen,Terminated for Cause,Production       ,Elijiah Gray,Google Search,Needs Improvement,2.3,0,19
"Exantus, Susan",Software Engineer,MA,05/15/87,F,Married,US Citizen,Terminated for Cause,Software Engineering,Alex Sweetwater,Indeed,Needs Improvement,2.1,4,19
"Faller, Megan ",Production Technician II,MA,09/22/78,F,Married,US Citizen,Active,Production       ,Elijiah Gray,LinkedIn,Fully Meets,4.4,0,17
"Fancett, Nicole",Production Technician II,MA,09/27/87,F,Single,US Citizen,Active,Production       ,Webster Butler,LinkedIn,Fully Meets,4,0,7
"Ferguson, Susan",Production Technician I,MA,04/14/55,F,Married,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,Google Search,Fully Meets,3.13,0,16
"Fernandes, Nilson  ",Production Technician I,MA,10/18/89,M ,Married,US Citizen,Active,Production       ,Amy Dunn,Indeed,PIP,1.56,0,15
"Fett, Boba",Network Engineer,MA,06/18/87,M ,Single,US Citizen,Active,IT/IS,Peter Monroe,LinkedIn,PIP,1.2,6,2
"Fidelia,  Libby",Production Technician I,MA,03/16/81,F,Married,US Citizen,Active,Production       ,Brannon Miller,Google Search,Fully Meets,5,0,19
"Fitzpatrick, Michael  J",Production Technician II,MA,10-01-1981,M ,Single,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,Google Search,Fully Meets,4.76,0,20
"Foreman, Tanya",Production Technician II,MA,11-08-1983,F,Married,US Citizen,Voluntarily Terminated,Production       ,Ketsia Liebig,Google Search,Fully Meets,3.66,0,6
"Forrest, Alex",Area Sales Manager,MA,07-07-1975,M ,Married,US Citizen,Terminated for Cause,Sales,Lynn Daneault,Employee Referral,PIP,2,0,7
"Foss, Jason",IT Director,MA,07-05-1980,M ,Single,US Citizen,Active,IT/IS,Jennifer Zamora,Indeed,Exceeds,5,5,15
"Foster-Baker, Amy",Sr. Accountant,MA,04/16/79,F,Married,US Citizen,Active,Admin Offices,Board of Directors,Other,Fully Meets,5,2,3
"Fraval, Maruk ",Area Sales Manager,CT,08/28/63,M ,Single,US Citizen,Active,Sales,Lynn Daneault,CareerBuilder,Fully Meets,4.3,0,7
"Galia, Lisa",IT Support,CT,07-06-1968,F,Single,US Citizen,Active,IT/IS,Eric Dougall,LinkedIn,Fully Meets,4.7,5,1
"Garcia, Raul",Production Technician I,MA,09/15/85,M ,Single,US Citizen,Active,Production       ,David Stanley,Employee Referral,Fully Meets,4.5,0,5
"Gaul, Barbara",Production Technician I,MA,12-02-1983,F,Single,US Citizen,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,4.2,0,12
"Gentry, Mildred",Production Technician I,MA,10-01-1990,F,Married,US Citizen,Active,Production       ,Michael Albert,LinkedIn,Fully Meets,3.73,0,19
"Gerke, Melisa",Production Technician I,MA,05/15/70,F,Divorced,US Citizen,Voluntarily Terminated,Production       ,Elijiah Gray,Diversity Job Fair,Fully Meets,4.24,0,2
"Gill, Whitney  ",Area Sales Manager,OH,07-10-1971,F,Widowed,US Citizen,Terminated for Cause,Sales,John Smith,CareerBuilder,Fully Meets,3.97,0,7
"Gilles, Alex",Production Technician I,MA,08-09-1974,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Needs Improvement,3.97,0,15
"Girifalco, Evelyn",Production Technician I,MA,05-08-1980,F,Single,US Citizen,Active,Production       ,Amy Dunn,Indeed,Exceeds,3.9,0,3
"Givens, Myriam",Area Sales Manager,IN,09/22/89,F,Single,US Citizen,Active,Sales,Lynn Daneault,Indeed,Fully Meets,4.5,0,20
"Goble, Taisha",Database Administrator,MA,10/23/71,F,Single,US Citizen,Terminated for Cause,IT/IS,Simon Roup,Indeed,Fully Meets,4.6,4,10
"Goeth, Amon",IT Support,MA,11/24/89,M ,Married,US Citizen,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,4.3,7,20
"Gold, Shenice  ",Production Technician I,MA,06/18/92,F,Single,US Citizen,Active,Production       ,Ketsia Liebig,Indeed,Fully Meets,4.3,0,7
"Gonzalez, Cayo",Production Technician I,MA,09/29/69,M ,Divorced,US Citizen,Active,Production       ,Brannon Miller,Diversity Job Fair,Exceeds,4.5,0,1
"Gonzalez, Juan",Production Technician II,MA,10-12-1964,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Brannon Miller,Diversity Job Fair,PIP,3,0,10
"Gonzalez, Maria",IT Support,MA,04/16/81,F,Separated,US Citizen,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.61,5,11
"Good, Susan",Production Technician II,MA,05/25/86,F,Married,US Citizen,Active,Production       ,David Stanley,LinkedIn,Fully Meets,4.6,0,20
"Gordon, David",Production Technician I,MA,05/21/79,M ,Married,US Citizen,Active,Production       ,David Stanley,LinkedIn,Fully Meets,5,0,2
"Gosciminski, Phylicia  ",Production Technician II,MA,12-08-1983,F,Separated,US Citizen,Active,Production       ,Kissy Sullivan,Google Search,Fully Meets,4.4,0,1
"Goyal, Roxana",Production Technician I,MA,10-09-1974,F,Married,US Citizen,Active,Production       ,Kissy Sullivan,LinkedIn,Fully Meets,4.1,0,3
"Gray, Elijiah  ",Production Manager,MA,07-11-1981,M ,Divorced,US Citizen,Active,Production       ,Janet King,Employee Referral,Fully Meets,4.63,0,2
"Gross, Paula",Production Technician I,MA,05/21/83,F,Divorced,US Citizen,Voluntarily Terminated,Production       ,Kelley Spirea,CareerBuilder,Fully Meets,5,0,17
"Gruber, Hans",BI Developer,MA,06/30/89,M ,Married,US Citizen,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.2,5,8
"Guilianno, Mike",Area Sales Manager,TN,02-09-1969,M ,Single,US Citizen,Voluntarily Terminated,Sales,John Smith,LinkedIn,Fully Meets,4.5,0,20
"Handschiegl, Joanne",Production Technician I,MA,03/23/77,F,Married,US Citizen,Active,Production       ,Michael Albert,Google Search,Fully Meets,4.2,0,13
"Hankard, Earnest",Production Technician II,MA,08-10-1988,M ,Single,US Citizen,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,5,0,20
"Harrington, Christie ",Production Technician I,MA,08/18/52,F,Single,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,CareerBuilder,Fully Meets,4.64,0,8
"Harrison, Kara",Production Technician I,MA,05-02-1974,F,Married,US Citizen,Active,Production       ,Amy Dunn,CareerBuilder,Exceeds,4.76,0,5
"Heitzman, Anthony",Production Technician I,MA,01-04-1984,M ,Single,US Citizen,Active,Production       ,Ketsia Liebig,Google Search,Fully Meets,4.17,0,1
"Hendrickson, Trina",Production Technician II,MA,08/27/72,F,Single,US Citizen,Voluntarily Terminated,Production       ,Kelley Spirea,CareerBuilder,Fully Meets,5,0,15
"Hitchcock, Alfred",Area Sales Manager,NH,09/14/88,M ,Married,US Citizen,Active,Sales,John Smith,Indeed,Fully Meets,3.6,0,9
"Homberger, Adrienne  J",Production Technician II,MA,02/16/84,F,Married,Non-Citizen,Voluntarily Terminated,Production       ,Michael Albert,Indeed,Fully Meets,3.03,0,16
"Horton, Jayne",Database Administrator,MA,02/21/84,F,Single,US Citizen,Active,IT/IS,Simon Roup,Indeed,Fully Meets,4.48,6,4
"Houlihan, Debra",Director of Sales,RI,03/17/66,F,Married,US Citizen,Active,Sales,Janet King,LinkedIn,Fully Meets,4.5,0,19
"Howard, Estelle",Administrative Assistant,MA,09/16/85,F,Married,US Citizen,Terminated for Cause,Admin Offices,Brandon R. LeBlanc,Indeed,Fully Meets,3.24,4,6
"Hudson, Jane",Production Technician I,MA,06-10-1986,F,Single,US Citizen,Active,Production       ,Ketsia Liebig,LinkedIn,Fully Meets,4.8,0,4
"Hunts, Julissa",Production Technician II,MA,03-11-1984,F,Single,US Citizen,Active,Production       ,Elijiah Gray,LinkedIn,Fully Meets,3,0,4
"Hutter, Rosalie",Production Technician II,MA,05-07-1992,F,Separated,US Citizen,Active,Production       ,Webster Butler,Indeed,Fully Meets,4.5,0,6
"Huynh, Ming",Production Technician II,MA,09/22/76,F,Divorced,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,Google Search,Fully Meets,3.72,0,18
"Immediato, Walter",Production Manager,MA,11/15/76,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Janet King,Indeed,Needs Improvement,2.34,0,4
"Ivey, Rose ",Production Technician I,MA,01/28/91,F,Single,US Citizen,Active,Production       ,Brannon Miller,Indeed,Fully Meets,3.99,0,14
"Jackson, Maryellen",Production Technician I,MA,09-11-1972,F,Single,US Citizen,Active,Production       ,David Stanley,LinkedIn,Fully Meets,4.1,0,7
"Jacobi, Hannah  ",Production Technician I,MA,03/22/66,F,Divorced,US Citizen,Active,Production       ,Kissy Sullivan,Employee Referral,Fully Meets,4.3,0,7
"Jeannite, Tayana",Production Technician II,MA,11-06-1986,F,Divorced,US Citizen,Active,Production       ,Ketsia Liebig,LinkedIn,Exceeds,4.6,0,11
"Jhaveri, Sneha  ",Production Technician I,MA,04/13/64,F,Separated,US Citizen,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,5,0,9
"Johnson, George",Production Technician I,MA,08/19/59,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Michael Albert,CareerBuilder,Exceeds,4.7,0,9
"Johnson, Noelle ",Database Administrator,MA,11-07-1986,F,Married,US Citizen,Active,IT/IS,Simon Roup,Indeed,Fully Meets,3.75,5,2
"Johnston, Yen",Production Technician II,MA,09-08-1969,F,Single,US Citizen,Active,Production       ,Brannon Miller,LinkedIn,Exceeds,4.3,0,1
"Jung, Judy  ",Production Technician I,MA,04/17/86,F,Married,US Citizen,Voluntarily Terminated,Production       ,Elijiah Gray,CareerBuilder,Fully Meets,4,0,4
"Kampew, Donysha",Sales Manager,PA,11-11-1989,F,Single,US Citizen,Voluntarily Terminated,Sales,Debra Houlihan,Google Search,Fully Meets,4.5,0,2
"Keatts, Kramer ",Production Technician I,MA,01/19/76,M ,Single,US Citizen,Active,Production       ,Michael Albert,Indeed,Fully Meets,3.07,0,10
"Khemmich, Bartholemew",Area Sales Manager,CO,11/27/79,M ,Single,US Citizen,Active,Sales,Lynn Daneault,Indeed,Fully Meets,4.3,0,13
"King, Janet",President & CEO,MA,09/21/54,F,Married,US Citizen,Active,Executive Office,Board of Directors,Indeed,Fully Meets,4.83,0,10
"Kinsella, Kathleen  ",Production Technician I,MA,12-08-1973,F,Married,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,Google Search,Fully Meets,3.6,0,16
"Kirill, Alexandra  ",Production Technician I,MA,10-08-1970,F,Married,US Citizen,Voluntarily Terminated,Production       ,Amy Dunn,Google Search,Fully Meets,3.49,0,6
"Knapp, Bradley  J",Production Technician I,MA,11-10-1977,M ,Single,US Citizen,Active,Production       ,Ketsia Liebig,LinkedIn,Fully Meets,3.1,0,3
"Kretschmer, John",Production Technician I,MA,02-02-1980,M ,Married,US Citizen,Active,Production       ,Brannon Miller,Indeed,Fully Meets,3.38,0,17
"Kreuger, Freddy",Area Sales Manager,NY,02/24/69,M ,Single,US Citizen,Active,Sales,John Smith,Diversity Job Fair,Fully Meets,3.65,0,20
"Lajiri,  Jyoti",Sr. Network Engineer,MA,04/23/86,M ,Married,US Citizen,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.46,6,7
"Landa, Hans",Production Manager,MA,07-01-1972,M ,Married,US Citizen,Terminated for Cause,Production       ,Janet King,Employee Referral,Fully Meets,4.78,0,9
"Langford, Lindsey",Production Technician II,MA,07/25/79,F,Divorced,US Citizen,Voluntarily Terminated,Production       ,David Stanley,Indeed,Fully Meets,4.52,0,20
"Langton, Enrico",Production Technician I,MA,12-09-1986,M ,Married,US Citizen,Active,Production       ,David Stanley,LinkedIn,Fully Meets,5,0,13
"LaRotonda, William  ",Accountant I,MA,04/26/84,M ,Divorced,US Citizen,Active,Admin Offices,Brandon R. LeBlanc,Website,Fully Meets,5,4,3
"Latif, Mohammed",Production Technician II,MA,05-09-1984,M ,Married,US Citizen,Voluntarily Terminated,Production       ,Kissy Sullivan,Google Search,Fully Meets,4.9,0,20
"Le, Binh",Senior BI Developer,MA,06/14/87,F,Single,US Citizen,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.1,7,2
"Leach, Dallas",Production Technician I,MA,01/17/79,F,Single,US Citizen,Voluntarily Terminated,Production       ,Kissy Sullivan,CareerBuilder,Fully Meets,4.88,0,17
"LeBlanc, Brandon  R",Shared Services Manager,MA,06-10-1984,M ,Married,US Citizen,Active,Admin Offices,Janet King,CareerBuilder,Fully Meets,4.1,0,20
"Lecter, Hannibal",Production Technician I,MA,09-02-1982,M ,Married,US Citizen,Active,Production       ,Elijiah Gray,Google Search,Fully Meets,4.1,0,10
"Leruth, Giovanni",Area Sales Manager,UT,12/27/88,M ,Separated,US Citizen,Active,Sales,John Smith,Website,Fully Meets,4.53,0,16
"Liebig, Ketsia",Production Manager,MA,10/26/81,F,Married,US Citizen,Active,Production       ,Janet King,Website,Exceeds,4.1,0,11
"Linares, Marilyn ",Production Technician I,MA,03/26/81,F,Married,US Citizen,Voluntarily Terminated,Production       ,Michael Albert,Indeed,Fully Meets,3.18,0,16
"Linden, Mathew",Production Technician II,MA,03/19/79,M ,Married,US Citizen,Active,Production       ,Kelley Spirea,LinkedIn,Fully Meets,4,0,7
"Lindsay, Leonara ",IT Support,CT,10-05-1988,F,Single,US Citizen,Active,IT/IS,Eric Dougall,Diversity Job Fair,Exceeds,4.64,5,14
"Lundy, Susan",Production Technician II,MA,12/26/76,F,Widowed,US Citizen,Voluntarily Terminated,Production       ,Michael Albert,LinkedIn,Fully Meets,4.65,0,15
"Lunquist, Lisa",Production Technician II,MA,03/28/82,F,Single,US Citizen,Active,Production       ,Elijiah Gray,Indeed,Exceeds,4.2,0,19
"Lydon, Allison",Production Technician I,MA,10/22/75,F,Married,US Citizen,Active,Production       ,Elijiah Gray,Website,Fully Meets,5,0,6
"Lynch, Lindsay",Production Technician I,MA,02/14/73,F,Single,US Citizen,Voluntarily Terminated,Production       ,Webster Butler,Diversity Job Fair,Exceeds,5,0,17
